,type,from,to,arcrole,order
115,arc,jppfs_cor_OtherComprehensiveIncomeAbstract,jppfs_cor_ForeignCurrencyTranslationAdjustmentNetOfTaxOCI,http://xbrl.org/int/dim/arcrole/domain-member,2
116,arc,jppfs_cor_OtherComprehensiveIncomeAbstract,jppfs_cor_OtherComprehensiveIncome,http://xbrl.org/int/dim/arcrole/domain-member,3
117,arc,jppfs_cor_YearToQuarterEndConsolidatedStatementOfComprehensiveIncomeSingleStatementHeading,jppfs_cor_StatementOfIncomeLineItems,http://xbrl.org/int/dim/arcrole/domain-member,2
118,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_NetSales,http://xbrl.org/int/dim/arcrole/domain-member,1
119,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_CostOfSales,http://xbrl.org/int/dim/arcrole/domain-member,2
120,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_GrossProfit,http://xbrl.org/int/dim/arcrole/domain-member,3
121,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_SellingGeneralAndAdministrativeExpenses,http://xbrl.org/int/dim/arcrole/domain-member,4
122,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_OperatingIncome,http://xbrl.org/int/dim/arcrole/domain-member,5
123,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_NonOperatingExpensesAbstract,http://xbrl.org/int/dim/arcrole/domain-member,7
124,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_OrdinaryIncome,http://xbrl.org/int/dim/arcrole/domain-member,8
125,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_ExtraordinaryIncomeAbstract,http://xbrl.org/int/dim/arcrole/domain-member,9
126,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_ExtraordinaryLossAbstract,http://xbrl.org/int/dim/arcrole/domain-member,10
127,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_IncomeBeforeIncomeTaxes,http://xbrl.org/int/dim/arcrole/domain-member,11
128,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_IncomeTaxesCurrent,http://xbrl.org/int/dim/arcrole/domain-member,12
129,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_IncomeTaxesDeferred,http://xbrl.org/int/dim/arcrole/domain-member,13
130,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_IncomeTaxes,http://xbrl.org/int/dim/arcrole/domain-member,14
131,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_ProfitLoss,http://xbrl.org/int/dim/arcrole/domain-member,15
